subject_id,rt,response,response_self,response_other,left_self,left_other,right_self,right_other,trial_index
Dorothee,21819,42,65,64,50,100,85,15,5
Dorothee,9357,100,85,85,100,50,85,85,6
Dorothee,12577,17,92,92,90,100,100,50,7
Dorothee,12381,100,100,50,85,15,100,50,8
Dorothee,9479,74,93,92,100,70,90,100,9
Dorothee,15317,38,81,81,100,70,50,100,10
Dorothee,5027,0,85,85,85,85,85,15,11
Dorothee,4193,50,75,75,100,50,50,100,12
Dorothee,3900,47,95,95,90,100,100,90,13
Dorothee,8097,61,82,81,100,50,70,100,14
Dorothee,13906,100,85,85,50,100,85,85,15
Dorothee,12354,25,93,93,100,90,70,100,16
Dorothee,7211,84,92,92,50,100,100,90,17
Dorothee,4073,50,75,75,50,100,100,50,18
Dorothee,2513,50,85,85,70,100,100,70,19
